"Transaction ID",Date,Year,"Customer ID","Customer Name",Gender,Age,"age group",Product,"Product Name",Category,Quantity,"Unit Price",avg_unit_price,"Total Sale","Payment Method",Location,"Sales Rep ID","Sales Rep","Discount Applied","Return Status"
TXN00014,2023-12-27,2023,CUST00014,"Ifeyinwa Adaeze",Female,31,Adult,Keyboard,Electronics,Electronics,10,248,0.050,2483,"Credit Card",Enugu,SP002,"Seyi Simeon",11%,Returned
TXN00015,2024-01-25,2024,CUST00015,"Olufunke Yemi",Female,24,"Young Adult",Monitor,Electronics,Electronics,3,67,0.010,201,POS,Enugu,SP075,"Chika Elijah",5%,Returned
TXN00016,2022-12-09,2022,CUST00016,"Tobi Obinna",Male,60,Old,"Laptop Stand",Accessories,Accessories,1,125,0.030,125,PayPal,Enugu,SP044,"Nneka Nkechi",None,"Not Returned"
TXN00017,2022-04-19,2022,CUST00017,"Jibola Chijioke",Male,53,Old,Keyboard,Electronics,Electronics,9,205,0.040,1850,Cash,Lagos,SP003,"Fathia Uche",$23,"Not Returned"
TXN00018,2022-08-01,2022,CUST00018,"Shola Adebayo",Female,22,"Young Adult",Monitor,Electronics,Electronics,7,174,0.030,1224,Cash,Abuja,SP035,"Pius Kelechi",11%,Returned
TXN00019,2024-04-05,2024,CUST00019,"Peace Amaka",Male,51,Old,Monitor,Electronics,Electronics,8,11,0.000,95,PayPal,Kano,SP077,"Chukwudi David",11%,"Not Returned"
TXN00020,2023-08-01,2023,CUST00020,"Ifeoma Olivia",Male,34,Adult,Monitor,Electronics,Electronics,2,83,0.020,167,Cash,Ibadan,SP024,"Shola Chike",$18,Returned
TXN00021,2024-02-07,2024,CUST00021,"Chukwudi Tola",Male,18,"Young Adult","Power Bank",Electronics,Electronics,5,253,0.050,1265,Cash,Lagos,SP049,"Ifeyinwa Nnamdi",None,Returned
TXN00022,2022-12-03,2022,CUST00022,"Temitope Ada",Male,36,Adult,"USB Hub",Accessories,Accessories,9,60,0.010,546,PayPal,Jos,SP028,"Patience Opeyemi",None,Returned
TXN00023,2023-03-15,2023,CUST00023,"Adaeze Chijioke",Male,48,"Middle Age","Wireless Mouse",Electronics,Electronics,14,177,0.040,2483,"Debit Card",Enugu,SP018,"Ifeoma Temitope",$3,Returned
TXN00024,2022-01-09,2022,CUST00024,"Nwafor Chisom",Male,43,"Middle Age","Laptop Stand",Accessories,Accessories,8,193,0.040,1551,"Credit Card",Ibadan,SP012,"Nkem Patience",$48,"Not Returned"
TXN00025,2022-09-23,2022,CUST00025,"Ifeoma Adaobi",Female,54,Old,"Wireless Mouse",Electronics,Electronics,8,37,0.010,300,"Credit Card","Port Harcourt",SP090,"Juliet Nneka",None,Returned
TXN00026,2023-05-10,2023,CUST00026,"Chidera Olivia",Male,58,Old,Keyboard,Electronics,Electronics,2,151,0.030,302,Cash,Lagos,SP034,"Femi Dayo",$40,Returned
TXN00027,2024-08-16,2024,CUST00027,"Temitayo Amina",Female,24,"Young Adult","USB Hub",Accessories,Accessories,14,30,0.010,432,"Credit Card",Jos,SP010,"Simeon Tobi",$29,Returned
TXN00028,2023-08-31,2023,CUST00028,"Nwafor Daniel",Female,48,"Middle Age","Phone Case",Accessories,Accessories,2,118,0.020,236,"Credit Card",Owerri,SP081,"Blessing Obinna",5%,Returned
TXN00029,2022-11-14,2022,CUST00029,"Jibola Uzochi",Female,45,"Middle Age","Power Bank",Electronics,Electronics,13,52,0.010,676,"Bank Transfer",Jos,SP001,"Ugo Pius",None,"Not Returned"
TXN00030,2023-05-24,2023,CUST00030,"Chizor Chizor",Male,32,Adult,"Phone Case",Accessories,Accessories,14,154,0.030,2161,"Debit Card",Enugu,SP046,"Juliet Amaka",None,Returned
TXN00031,2022-07-17,2022,CUST00031,"Opeyemi Obi",Male,32,Adult,"Wireless Mouse",Electronics,Electronics,1,26,0.010,26,"Bank Transfer",Lagos,SP048,"Tope Dayo",$20,"Not Returned"
TXN00032,2024-02-19,2024,CUST00032,"Blessing Bola",Male,24,"Young Adult",Charger,Accessories,Accessories,6,67,0.010,407,POS,Abuja,SP074,"Micheal Efe",$16,"Not Returned"
TXN00033,2022-01-17,2022,CUST00033,"Adesola Chisom",Male,35,Adult,Keyboard,Electronics,Electronics,6,68,0.010,410,POS,"Port Harcourt",SP039,"Nwafor Ayo",$1,Returned
TXN00034,2024-05-29,2024,CUST00034,"Adebayo Chinonso",Male,27,"Young Adult","Wireless Mouse",Electronics,Electronics,1,59,0.010,59,POS,Abuja,SP099,"Adebayo Tunde",$39,"Not Returned"
TXN00035,2024-09-11,2024,CUST00035,"Chika Chinedu",Male,36,Adult,"Power Bank",Electronics,Electronics,8,85,0.020,682,PayPal,Enugu,SP073,"Adesola Nike",$49,Returned
TXN00036,2022-03-05,2022,CUST00036,"Amarachi Amarachi",Male,47,"Middle Age","Laptop Stand",Accessories,Accessories,12,265,0.050,3186,Cash,Lagos,SP040,"Ugo Tola",$17,"Not Returned"
TXN00037,2023-10-15,2023,CUST00037,"David Adebayo",Female,58,Old,"Bluetooth Speaker",Electronics,Electronics,1,90,0.020,90,PayPal,"Port Harcourt",SP076,"Fola Zainab",$44,Returned
TXN00038,2022-07-11,2022,CUST00038,"Favour Olivia",Female,40,"Middle Age","Flash Drive",Accessories,Accessories,12,90,0.020,1090,"Bank Transfer",Enugu,SP075,"Bola Ayo",$42,Returned
TXN00039,2024-07-13,2024,CUST00039,"Segun Tunde",Female,41,"Middle Age","Power Bank",Electronics,Electronics,3,275,0.060,827,POS,Abuja,SP076,"Fola Kehinde",None,"Not Returned"
TXN00040,2023-08-26,2023,CUST00040,"Kelechi Chidera",Male,27,"Young Adult",Charger,Accessories,Accessories,10,15,0.000,157,Cash,"Port Harcourt",SP016,"Olivia Tosin",None,"Not Returned"
TXN00041,2024-01-30,2024,CUST00041,"Jibola Nkechi",Female,56,Old,"Phone Case",Accessories,Accessories,6,191,0.040,1150,"Debit Card",Owerri,SP080,"Ifechukwu Chinedu",10%,"Not Returned"
TXN00042,2023-03-08,2023,CUST00042,"Fola Adaeze",Male,50,Old,"Laptop Stand",Accessories,Accessories,12,142,0.030,1715,PayPal,Enugu,SP011,"Damilola Ada",$1,"Not Returned"
TXN00043,2022-02-21,2022,CUST00043,"Ronke Ugochukwu",Female,31,Adult,Charger,Accessories,Accessories,4,200,0.040,801,POS,Kano,SP097,"Chizor Uche",14%,"Not Returned"
TXN00044,2023-11-20,2023,CUST00044,"Chisom Olufunke",Male,40,"Middle Age","Laptop Stand",Accessories,Accessories,15,49,0.010,749,Cash,Jos,SP068,"Opeyemi Ada",None,"Not Returned"
TXN00045,2022-06-01,2022,CUST00045,"Favour Kelechi",Male,58,Old,"Phone Case",Accessories,Accessories,13,180,0.040,2346,Cash,Enugu,SP092,"Ronke Dayo",None,Returned
TXN00046,2024-04-07,2024,CUST00046,"Bola Temitope",Male,59,Old,Charger,Accessories,Accessories,9,286,0.060,2582,"Credit Card",Kano,SP008,"Chijioke Opeyemi",9%,"Not Returned"
TXN00047,2022-12-28,2022,CUST00047,"Adebayo Fathia",Female,38,Adult,"Laptop Stand",Accessories,Accessories,12,260,0.050,3123,"Debit Card",Ibadan,SP082,"Ogechi Chika",7%,"Not Returned"
TXN00048,2023-09-01,2023,CUST00048,"Onyinye Uche",Female,54,Old,"Laptop Stand",Accessories,Accessories,4,50,0.010,200,POS,"Port Harcourt",SP047,"Kehinde Ogechi",8%,"Not Returned"
TXN00049,2023-03-25,2023,CUST00049,"Ezinne Amaka",Female,50,Old,"Flash Drive",Accessories,Accessories,15,35,0.010,539,PayPal,"Port Harcourt",SP085,"Adebayo Tope",15%,Returned
TXN00050,2024-06-02,2024,CUST00050,"Jibola Fola",Male,46,"Middle Age",Charger,Accessories,Accessories,6,169,0.030,1018,"Debit Card",Jos,SP031,"Amarachi Chikere",16%,Returned
TXN00051,2023-05-20,2023,CUST00051,"Ayo Simeon",Female,45,"Middle Age","Phone Case",Accessories,Accessories,7,157,0.030,1101,"Bank Transfer",Kano,SP086,"Chikere Kehinde",None,"Not Returned"
TXN00052,2024-07-02,2024,CUST00052,"Chioma Tunde",Female,18,"Young Adult",Keyboard,Electronics,Electronics,3,180,0.040,541,Cash,Kano,SP094,"Adesola Chizor",11%,Returned
TXN00053,2022-07-06,2022,CUST00053,"Emeka Bola",Male,28,"Young Adult",Monitor,Electronics,Electronics,4,94,0.020,377,"Credit Card",Ibadan,SP083,"Yemi Zainab",None,"Not Returned"
TXN00054,2024-01-07,2024,CUST00054,"Pius Tunde",Male,51,Old,Monitor,Electronics,Electronics,13,293,0.060,3810,"Debit Card",Enugu,SP040,"Yemi Opeyemi",17%,Returned
TXN00055,2023-09-11,2023,CUST00055,"Olu Elijah",Male,31,Adult,"Power Bank",Electronics,Electronics,6,165,0.030,995,POS,Kano,SP040,"Obinna Oyinade",16%,Returned
TXN00056,2022-11-07,2022,CUST00056,"Uche Chinwe",Female,34,Adult,"Wireless Mouse",Electronics,Electronics,11,137,0.030,1512,"Bank Transfer",Owerri,SP003,"Ronke Daniel",None,Returned
TXN00057,2024-10-09,2024,CUST00057,"Opeyemi Hassan",Male,34,Adult,"Bluetooth Speaker",Electronics,Electronics,5,153,0.030,768,"Bank Transfer",Enugu,SP068,"Obinna Jibola",$46,Returned
TXN00058,2024-07-24,2024,CUST00058,"Nneka Olu",Male,40,"Middle Age","Laptop Stand",Accessories,Accessories,3,294,0.060,882,POS,"Port Harcourt",SP005,"Nkechi Chisom",None,"Not Returned"
TXN00059,2022-11-19,2022,CUST00059,"Chinwe Nnenna",Male,50,Old,"Laptop Stand",Accessories,Accessories,7,22,0.000,158,Cash,Kano,SP065,"Vivian Emeka",7%,Returned
TXN00060,2023-06-03,2023,CUST00060,"Patience Temitope",Female,35,Adult,"Power Bank",Electronics,Electronics,7,259,0.050,1817,POS,Enugu,SP026,"Shola Sola",None,Returned
TXN00061,2024-08-30,2024,CUST00061,"Ogechi Tosin",Female,24,"Young Adult",Charger,Accessories,Accessories,13,294,0.060,3829,"Debit Card",Lagos,SP026,"Favour Ada",None,Returned
TXN00062,2023-06-26,2023,CUST00062,"Tobi Adesola",Male,50,Old,Monitor,Electronics,Electronics,12,202,0.040,2431,"Bank Transfer",Abuja,SP069,"Tobi Chinedu",7%,Returned
TXN00063,2024-04-26,2024,CUST00063,"Opeyemi Chidera",Female,34,Adult,"USB Hub",Accessories,Accessories,10,288,0.060,2882,PayPal,Owerri,SP053,"Micheal Olufunke",$28,"Not Returned"
TXN00064,2023-12-23,2023,CUST00064,"Fola Chukwuemeka",Male,57,Old,"USB Hub",Accessories,Accessories,5,97,0.020,489,"Debit Card",Jos,SP011,"Ifeoma Ayo",None,Returned
TXN00065,2023-10-26,2023,CUST00065,"Temitope Oluwatobi",Female,56,Old,"USB Hub",Accessories,Accessories,2,223,0.040,446,"Debit Card","Port Harcourt",SP025,"Benita Ifeyinwa",$20,"Not Returned"
TXN00066,2022-07-31,2022,CUST00066,"Zainab Chinwe",Female,35,Adult,"Laptop Stand",Accessories,Accessories,2,295,0.060,591,Cash,"Port Harcourt",SP096,"Adaeze Kehinde",None,"Not Returned"
TXN00067,2024-07-04,2024,CUST00067,"Aisha Jibola",Male,49,"Middle Age","Power Bank",Electronics,Electronics,3,22,0.000,67,POS,Abuja,SP078,"Nwafor Ada",20%,"Not Returned"
TXN00068,2022-09-07,2022,CUST00068,"Anita Chike",Female,18,"Young Adult","Bluetooth Speaker",Electronics,Electronics,5,236,0.050,1181,"Bank Transfer",Ibadan,SP021,"Obinna Chukwuemeka",19%,"Not Returned"
TXN00069,2022-10-04,2022,CUST00069,"Chikere Kehinde",Female,57,Old,Keyboard,Electronics,Electronics,2,276,0.060,552,Cash,Jos,SP010,"Vivian Uche",$10,Returned
TXN00070,2023-09-27,2023,CUST00070,"Sola Ifeoma",Female,22,"Young Adult",Monitor,Electronics,Electronics,2,109,0.020,219,"Debit Card",Owerri,SP062,"Chizor Obinna",11%,Returned
TXN00071,2024-02-16,2024,CUST00071,"Opeyemi Chinwe",Female,44,"Middle Age",Monitor,Electronics,Electronics,6,182,0.040,1096,PayPal,Kano,SP056,"Daniel Ronke",6%,"Not Returned"
TXN00072,2021-12-19,2021,CUST00072,"Amina Uzochi",Male,53,Old,Charger,Accessories,Accessories,5,94,0.020,473,PayPal,Owerri,SP005,"Nkemdilim Amaka",13%,"Not Returned"
TXN00073,2024-01-21,2024,CUST00073,"Kola Amaka",Female,27,"Young Adult",Charger,Accessories,Accessories,7,175,0.040,1229,"Credit Card",Lagos,SP098,"Ugochukwu Shola",7%,Returned
TXN00074,2021-12-27,2021,CUST00074,"Chinedu Olamide",Male,54,Old,Monitor,Electronics,Electronics,6,203,0.040,1218,"Debit Card",Abuja,SP055,"Shola Kola",None,"Not Returned"
TXN00075,2023-09-02,2023,CUST00075,"Opeyemi Olu",Female,60,Old,"Bluetooth Speaker",Electronics,Electronics,5,248,0.050,1244,Cash,Kano,SP025,"Benita Temitope",$43,"Not Returned"
TXN00076,2022-02-08,2022,CUST00076,"Obi Temitayo",Male,55,Old,Monitor,Electronics,Electronics,8,76,0.020,615,Cash,"Port Harcourt",SP029,"Obinna Kehinde",7%,Returned
TXN00077,2023-12-22,2023,CUST00077,"Chika Yemi",Male,29,"Young Adult","Bluetooth Speaker",Electronics,Electronics,1,8,0.000,8,"Debit Card",Enugu,SP055,"Olufunke Juliet",$40,Returned
TXN00078,2023-08-04,2023,CUST00078,"Chidera Patience",Female,31,Adult,"Flash Drive",Accessories,Accessories,11,253,0.050,2787,POS,Owerri,SP065,"Olamide Ada",None,Returned
TXN00079,2022-12-10,2022,CUST00079,"Kelechi Bola",Female,57,Old,Keyboard,Electronics,Electronics,13,152,0.030,1984,PayPal,Lagos,SP099,"Efe Damilola",16%,"Not Returned"
TXN00080,2021-11-27,2021,CUST00080,"Fidelis Nneka",Female,43,"Middle Age","Laptop Stand",Accessories,Accessories,1,42,0.010,42,Cash,Jos,SP063,"Amaka Simeon",None,"Not Returned"
TXN00081,2024-06-20,2024,CUST00081,"Nkem Nike",Male,46,"Middle Age","Flash Drive",Accessories,Accessories,5,131,0.030,657,PayPal,Ibadan,SP025,"Jibola Elijah",11%,Returned
TXN00082,2022-07-10,2022,CUST00082,"Efe Femi",Female,48,"Middle Age","Flash Drive",Accessories,Accessories,4,15,0.000,63,"Debit Card",Owerri,SP046,"Simeon Amarachi",None,Returned
TXN00083,2022-03-31,2022,CUST00083,"Shola Olu",Male,60,Old,Monitor,Electronics,Electronics,9,118,0.020,1070,"Bank Transfer",Owerri,SP072,"Chukwuemeka Anita",None,Returned
TXN00084,2023-11-15,2023,CUST00084,"Amina Bola",Male,47,"Middle Age","USB Hub",Accessories,Accessories,5,201,0.040,1007,"Debit Card",Ibadan,SP082,"Chisom Micheal",None,"Not Returned"
TXN00085,2022-09-26,2022,CUST00085,"Adebayo Obinna",Male,60,Old,"USB Hub",Accessories,Accessories,1,23,0.000,23,Cash,Jos,SP086,"Daniel Kola",$26,Returned
TXN00086,2022-12-12,2022,CUST00086,"Blessing Chinonso",Female,50,Old,"Laptop Stand",Accessories,Accessories,5,29,0.010,148,Cash,Lagos,SP004,"Obinna Nkem",6%,Returned
TXN00087,2021-11-14,2021,CUST00087,"Tosin Olufunke",Female,49,"Middle Age","Flash Drive",Accessories,Accessories,12,147,0.030,1772,"Credit Card",Owerri,SP066,"Chinonso Bola",19%,Returned
TXN00088,2023-04-24,2023,CUST00088,"Tola Ezinne",Female,38,Adult,"Laptop Stand",Accessories,Accessories,8,155,0.030,1244,PayPal,Kano,SP006,"Sola Patience",None,"Not Returned"
TXN00089,2024-09-07,2024,CUST00089,"Jibola Peace",Female,27,"Young Adult","USB Hub",Accessories,Accessories,3,52,0.010,156,"Debit Card","Port Harcourt",SP056,"Ifeoma Kelechi",11%,Returned
TXN00090,2022-08-01,2022,CUST00090,"Elijah Elijah",Female,24,"Young Adult","Flash Drive",Accessories,Accessories,6,82,0.020,497,PayPal,Abuja,SP087,"Chukwudi Tunde",$21,Returned
TXN00091,2023-11-19,2023,CUST00091,"Chike Chika",Male,36,Adult,Charger,Accessories,Accessories,13,296,0.060,3849,"Debit Card","Port Harcourt",SP079,"Ugochukwu Chinwe",$2,"Not Returned"
TXN00092,2024-02-09,2024,CUST00092,"Chukwuemeka Chijioke",Female,47,"Middle Age","Power Bank",Electronics,Electronics,14,45,0.010,641,"Credit Card","Port Harcourt",SP084,"Adebayo Benita",None,"Not Returned"
TXN00093,2023-03-09,2023,CUST00093,"Elijah Ada",Female,43,"Middle Age","Flash Drive",Accessories,Accessories,11,11,0.000,121,Cash,Owerri,SP060,"Kola Bola",None,"Not Returned"
TXN00094,2024-08-10,2024,CUST00094,"Nnamdi Ronke",Male,54,Old,Monitor,Electronics,Electronics,2,272,0.050,545,"Bank Transfer",Kano,SP053,"Tunde Damilola",None,Returned
TXN00095,2023-06-21,2023,CUST00095,"Segun Efe",Female,60,Old,"Power Bank",Electronics,Electronics,14,299,0.060,4191,"Debit Card",Abuja,SP091,"Tobi Bola",13%,"Not Returned"
TXN00096,2024-09-25,2024,CUST00096,"Nkechi Shola",Female,40,"Middle Age","Flash Drive",Accessories,Accessories,4,169,0.030,678,Cash,Jos,SP016,"Bola Chika",19%,Returned
TXN00097,2021-11-28,2021,CUST00097,"Olufunke Yemi",Female,51,Old,"Laptop Stand",Accessories,Accessories,2,93,0.020,186,"Credit Card",Abuja,SP030,"Ngozi Bola",$18,Returned
TXN00098,2023-06-08,2023,CUST00098,"Aisha Kehinde",Female,46,"Middle Age","USB Hub",Accessories,Accessories,13,113,0.020,1478,Cash,Enugu,SP092,"Segun Adaeze",$13,Returned
TXN00099,2024-02-28,2024,CUST00099,"Olamide Opeyemi",Female,29,"Young Adult","Bluetooth Speaker",Electronics,Electronics,3,163,0.030,491,Cash,Lagos,SP088,"Peace Tosin",$11,"Not Returned"
TXN00100,2023-11-13,2023,CUST00100,"Nneka Chizor",Male,26,"Young Adult",Charger,Accessories,Accessories,9,201,0.040,1814,Cash,Lagos,SP083,"Chioma Anita",10%,Returned
TXN00101,2022-01-05,2022,CUST00101,"Emmanuela Ada",Female,23,"Young Adult",Monitor,Electronics,Electronics,11,228,0.050,2510,Cash,Enugu,SP004,"Chisom Olivia",$33,"Not Returned"
TXN00102,2021-12-02,2021,CUST00102,"Chikere Shola",Female,23,"Young Adult","USB Hub",Accessories,Accessories,9,170,0.030,1536,"Debit Card","Port Harcourt",SP086,"Temitope Femi",None,"Not Returned"
TXN00103,2023-01-06,2023,CUST00103,"Fola Chioma",Male,18,"Young Adult","USB Hub",Accessories,Accessories,7,33,0.010,235,Cash,Lagos,SP048,"Tunde Olu",$17,Returned
TXN00104,2024-01-13,2024,CUST00104,"Nkem Yemi",Female,35,Adult,"Flash Drive",Accessories,Accessories,14,113,0.020,1587,"Debit Card",Lagos,SP003,"Tunde Olivia",$22,"Not Returned"
TXN00105,2023-12-29,2023,CUST00105,"Anita Amina",Male,20,"Young Adult",Keyboard,Electronics,Electronics,9,30,0.010,274,"Debit Card",Kano,SP081,"Chidera Bola",$49,Returned
TXN00106,2022-04-02,2022,CUST00106,"Precious Emeka",Male,30,Adult,"USB Hub",Accessories,Accessories,1,253,0.050,253,"Bank Transfer",Enugu,SP050,"Chika Ogechi",$17,"Not Returned"
TXN00107,2024-07-15,2024,CUST00107,"Chidera Micheal",Male,52,Old,"Power Bank",Electronics,Electronics,10,259,0.050,2591,POS,Abuja,SP060,"Efe Shola",None,"Not Returned"
TXN00108,2022-03-15,2022,CUST00108,"Ronke Emmanuela",Female,39,Adult,Keyboard,Electronics,Electronics,6,50,0.010,301,"Debit Card",Ibadan,SP054,"Nnamdi Nkem",6%,Returned
TXN00109,2024-09-04,2024,CUST00109,"Tope Olivia",Male,52,Old,"Wireless Mouse",Electronics,Electronics,12,50,0.010,610,"Bank Transfer",Ibadan,SP060,"Ifeoma Temitope",$29,"Not Returned"
TXN00110,2024-03-30,2024,CUST00110,"Temitayo Nkemdilim",Male,29,"Young Adult",Charger,Accessories,Accessories,7,65,0.010,455,"Bank Transfer",Ibadan,SP019,"Chinonso Vivian",None,"Not Returned"
TXN00111,2021-11-09,2021,CUST00111,"Temitope Opeyemi",Female,57,Old,"Laptop Stand",Accessories,Accessories,14,267,0.050,3739,"Credit Card",Lagos,SP035,"Bola Shola",$21,Returned
TXN00112,2022-05-19,2022,CUST00112,"Bola Chinonso",Female,56,Old,"Wireless Mouse",Electronics,Electronics,14,132,0.030,1849,Cash,Owerri,SP018,"Oluwatobi Amarachi",None,Returned
TXN00113,2024-08-11,2024,CUST00113,"Fidelis Daniel",Female,22,"Young Adult","Phone Case",Accessories,Accessories,1,238,0.050,238,PayPal,Owerri,SP077,"Ugochukwu Ezinne",14%,"Not Returned"
TXN00114,2024-06-10,2024,CUST00114,"Nkechi Oluwatobi",Female,45,"Middle Age",Charger,Accessories,Accessories,3,155,0.030,467,Cash,"Port Harcourt",SP068,"Chijioke Kelechi",None,"Not Returned"
TXN00115,2023-01-24,2023,CUST00115,"Chidera Onyinye",Female,22,"Young Adult","Bluetooth Speaker",Electronics,Electronics,6,296,0.060,1778,Cash,Ibadan,SP054,"Chikere Oyinade",None,Returned
TXN00116,2024-08-13,2024,CUST00116,"Emeka Juliet",Male,50,Old,"Bluetooth Speaker",Electronics,Electronics,4,98,0.020,394,"Debit Card",Ibadan,SP059,"Ronke Adaobi",None,Returned
TXN00117,2022-05-13,2022,CUST00117,"Tola Kehinde",Female,55,Old,"Wireless Mouse",Electronics,Electronics,15,153,0.030,2308,Cash,Abuja,SP027,"Chisom Kehinde",None,Returned
TXN00118,2024-08-27,2024,CUST00118,"Olufunke Uzochi",Male,42,"Middle Age","Bluetooth Speaker",Electronics,Electronics,2,140,0.030,280,POS,Abuja,SP089,"Jibola Blessing",None,"Not Returned"
TXN00119,2024-07-07,2024,CUST00119,"Uzochi Nneka",Male,38,Adult,"Flash Drive",Accessories,Accessories,2,153,0.030,307,"Credit Card",Jos,SP090,"Temitope Nkem",16%,"Not Returned"
TXN00120,2024-06-13,2024,CUST00120,"Chidera Adaobi",Female,25,"Young Adult","Bluetooth Speaker",Electronics,Electronics,2,64,0.010,128,Cash,"Port Harcourt",SP057,"Adesola Adebayo",$49,"Not Returned"
TXN00121,2022-08-03,2022,CUST00121,"Kola Uche",Male,38,Adult,"Phone Case",Accessories,Accessories,3,120,0.020,362,"Credit Card",Enugu,SP081,"Olu Favour",20%,Returned
TXN00122,2022-06-19,2022,CUST00122,"Emmanuela Chinwe",Female,42,"Middle Age","USB Hub",Accessories,Accessories,9,299,0.060,2692,"Credit Card",Owerri,SP005,"Fola Adesola",$29,Returned
TXN00123,2024-02-03,2024,CUST00123,"Chidera Blessing",Female,43,"Middle Age","Wireless Mouse",Electronics,Electronics,3,21,0.000,63,Cash,Jos,SP030,"Efe Chinonso",None,"Not Returned"
TXN00124,2023-02-13,2023,CUST00124,"Shola Patience",Female,39,Adult,"Bluetooth Speaker",Electronics,Electronics,9,262,0.050,2366,PayPal,Lagos,SP089,"Amina Chisom",None,Returned
TXN00125,2022-05-04,2022,CUST00125,"Uche Fola",Female,53,Old,Keyboard,Electronics,Electronics,4,55,0.010,221,PayPal,Jos,SP055,"Amaka Simeon",$35,Returned
TXN00126,2022-06-07,2022,CUST00126,"Nneka Daniel",Male,41,"Middle Age","Laptop Stand",Accessories,Accessories,6,238,0.050,1430,"Debit Card",Kano,SP073,"Amaka Sola",None,"Not Returned"
TXN00127,2023-02-12,2023,CUST00127,"Peace Chinonso",Male,56,Old,Keyboard,Electronics,Electronics,3,120,0.020,361,"Credit Card",Jos,SP012,"Ugo Fidelis",None,"Not Returned"
TXN00128,2023-10-14,2023,CUST00128,"Ezinne Oluwatobi",Female,53,Old,"Power Bank",Electronics,Electronics,4,294,0.060,1179,Cash,Jos,SP066,"Amaka Shola",$12,"Not Returned"
TXN00129,2022-04-08,2022,CUST00129,"Ugo Nnamdi",Female,42,"Middle Age","Power Bank",Electronics,Electronics,14,42,0.010,595,POS,Enugu,SP090,"Onyinye Damilola",5%,"Not Returned"
TXN00130,2022-02-09,2022,CUST00130,"Ayo Pius",Male,50,Old,"Laptop Stand",Accessories,Accessories,2,272,0.050,544,PayPal,Lagos,SP086,"Nike Juliet",5%,Returned
TXN00131,2024-10-05,2024,CUST00131,"Ronke David",Female,18,"Young Adult",Monitor,Electronics,Electronics,4,39,0.010,158,POS,Enugu,SP076,"Micheal Chidera",None,"Not Returned"
TXN00132,2023-03-21,2023,CUST00132,"Ifechukwu Nwafor",Female,47,"Middle Age","USB Hub",Accessories,Accessories,13,138,0.030,1799,PayPal,Ibadan,SP056,"Adaobi Chukwudi",11%,Returned
